Location Code,SKU,Name Of the Product,Category,Sub Category,Description,Short_Description,Weight/Quantity (KG/ML/Unit),Price (Inclusive of Tax),Special_Price,Discount %,Inventory,Date,PlanoLoc,For You,Priority
1307,100004263,Tata Salt Lite 1 Kg,"Flours, Salt & Sugar",Salt and Sugar,Tata Salt Lite 1 Kg,Tata Salt Lite 1 Kg,EA,40,35,12.5,40,20/01/21,G08/4_2E,FALSE,0
1307,100005573,more Superior/Choice Whole Wheat Chakki Fresh Atta 10 Kg,"Flours, Salt & Sugar",Flours,more Superior/Choice Whole Wheat Chakki Fresh Atta 10 Kg,more Superior/Choice Whole Wheat Chakki Fresh Atta 10 Kg,EA,490,333,32.04,6,20/01/21,/,FALSE,0
1307,100009747,more Superior/Choice Whole Wheat Chakki Fresh Atta 5 Kg,"Flours, Salt & Sugar",Flours,more Superior/Choice Whole Wheat Chakki Fresh Atta 5 Kg,more Superior/Choice Whole Wheat Chakki Fresh Atta 5 Kg,EA,270,193,28.52,24,20/01/21,/,FALSE,0
1307,100015269,Aashirvaad Sharbati Select Atta 5 Kg,"Flours, Salt & Sugar",Flours,Aashirvaad Sharbati Select Atta 5 Kg,Aashirvaad Sharbati Select Atta 5 Kg,EA,300,297,1,22,20/01/21,G03/7B_1E,FALSE,0
1307,100015331,Aashirvad Salt 1 Kg,"Flours, Salt & Sugar",Salt and Sugar,Aashirvad Salt 1 Kg,Aashirvad Salt 1 Kg,EA,21,20,4.76,29,20/01/21,G08/5_2 ,FALSE,0
1307,100018064,Catch Black Salt 200 Gm Bottle,"Flours, Salt & Sugar",Salt and Sugar,Catch Black Salt 200 Gm Bottle,Catch Black Salt 200 Gm Bottle,EA,45,45,0,11,20/01/21,G08/1_2 ,FALSE,0
1307,100031947,Tata Salt 1 Kg,"Flours, Salt & Sugar",Salt and Sugar,Tata Salt 1 Kg,Tata Salt 1 Kg,EA,21,20,4.76,50,20/01/21,G08/3_2E,FALSE,0
1307,100036647,More Life Sharbati Atta With Multigrains 5 Kg,"Flours, Salt & Sugar",Flours,More Life Sharbati Atta With Multigrains 5 Kg,More Life Sharbati Atta With Multigrains 5 Kg,EA,310,249,19.68,12,20/01/21,/,FALSE,0
1307,100036663,more Life Sharbati Atta With Multigrains 1 Kg,"Flours, Salt & Sugar",Flours,more Life Sharbati Atta With Multigrains 1 Kg,more Life Sharbati Atta With Multigrains 1 Kg,EA,64,60,6.25,1,20/01/21,G01/5_1 ,FALSE,0
1307,100037266,More Choice Nakuldana 100 g,"Flours, Salt & Sugar",Salt and Sugar,More Choice Nakuldana 100 g,More Choice Nakuldana 100 g,EA,17,16,5.88,85,20/01/21,G07/4_1 ,FALSE,0
